Epsilon Discount LearningLength TestLength L1Factor NumberOfFeatures MeanDataLikelihood MeanReward
0.1 0.9 1391 1000 0.0227374 26 0.629909 0
0.1 0.9 1391 1000 0.0284217 26 0.629898 0.002
0.1 0.9 1391 1000 0.0355271 26 0.629921 0.004
0.1 0.9 1391 1000 0.0444089 17 0.458807 0.005
0.1 0.9 1738 1000 0 176 0.754391 0.209
0.1 0.9 1738 1000 0.00125 54 0.751491 0.218
0.1 0.9 1738 1000 0.0015625 51 0.751107 0.217
0.1 0.9 1738 1000 0.00195312 46 0.750422 0.223
0.1 0.9 1738 1000 0.00244141 42 0.749668 0.217
0.1 0.9 1738 1000 0.00305176 42 0.749642 0.216
0.1 0.9 1738 1000 0.0038147 39 0.749146 0.209
0.1 0.9 1738 1000 0.00476837 38 0.748954 0.216
0.1 0.9 1738 1000 0.00596046 35 0.740402 0.221
0.1 0.9 1738 1000 0.00745058 32 0.739664 0.213
0.1 0.9 1738 1000 0.00931323 30 0.739629 0.216
0.1 0.9 1738 1000 0.0116415 30 0.739654 0.214
0.1 0.9 1738 1000 0.0145519 26 0.670295 0.003
0.1 0.9 1738 1000 0.0181899 26 0.670277 0.008
0.1 0.9 1738 1000 0.0227374 26 0.67029 0.001
0.1 0.9 1738 1000 0.0284217 26 0.670305 0.001
0.1 0.9 1738 1000 0.0355271 26 0.670293 0
0.1 0.9 1738 1000 0.0444089 17 0.474139 0.005
0.1 0.9 2172 1000 0 176 0.70463 0.208
0.1 0.9 2172 1000 0.00125 59 0.702693 0.219
0.1 0.9 2172 1000 0.0015625 57 0.702677 0.21
0.1 0.9 2172 1000 0.00195312 55 0.70218 0.213
0.1 0.9 2172 1000 0.00244141 51 0.701438 0.21
0.1 0.9 2172 1000 0.00305176 46 0.700094 0.22
0.1 0.9 2172 1000 0.0038147 38 0.698743 0.218
0.1 0.9 2172 1000 0.00476837 38 0.698702 0.214
0.1 0.9 2172 1000 0.00596046 34 0.698247 0.217
0.1 0.9 2172 1000 0.00745058 31 0.691551 0.218
0.1 0.9 2172 1000 0.00931323 29 0.689448 0.213
0.1 0.9 2172 1000 0.0116415 26 0.640567 0.011
0.1 0.9 2172 1000 0.0145519 26 0.640566 0.003
0.1 0.9 2172 1000 0.0181899 26 0.640564 0.003
0.1 0.9 2172 1000 0.0227374 26 0.640566 0.008
0.1 0.9 2172 1000 0.0284217 26 0.640569 0.003
